# id	left	top	right	bottom	texture_id
[SPRITES]
# big tree
1100	307	307	322	322	30
1200	324	307	339	322	30
1300	307	324	322	339	30
1400	324	324	339	339	30
1500	307	341	322	356	30
1600	324	341	339	356	30
1700	341	324	356	339	30
# small tree
2100	375	324	390	339	30
# cloud
3100	715	1	730	16	30
3200	732	1	747	16	30
3300	749	1	764	16	30
3400	715	18	730	33	30
3500	732	18	747	33	30
3600	749	18	764	33	30
# Black
4110	698	35	713	50	30
4120	698	86	713	101	30

# Black tree
5100	715	69	730	84	30
5200	732	69	747	84	30
5300	715	86	730	101	30
5400	732	86	747	101	30

# Star Box
6100	650	106	675	131	30

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
