# id	left	top	right	bottom	texture_id
[SPRITES]
# Pink Box
81100	919	137	934	152	30
81200	936	137	951	152	30
81300	953	137	968	152	30
81400	919	154	934	169	30
81500	936	154	951	169	30
81600	953	154	968	169	30
81700	919	171	934	186	30
81800	936	171	951	186	30
81900	953	171	968	186	30
# Blue Box
82100	970	137	985	152	30
82200	987	137	1002	152	30
82300	1004	137	1019	152	30
82400	970	154	985	169	30
82500	987	154	1002	169	30
82600	1004	154	1019	169	30
82700	970	171	985	186	30
82800	987	171	1002	186	30
82900	1004	171	1019	186	30
# Green Box
83100	919	188	934	203	30
83200	936	188	951	203	30
83300	953	188	968	203	30
83400	919	205	934	220	30
83500	936	205	951	220	30
83600	953	205	968	220	30
83700	919	222	934	237	30
83800	936	222	951	237	30
83900	953	222	968	237	30
# White Box
84100	970	188	985	203	30
84200	987	188	1002	203	30
84300	1004	188	1019	203	30
84400	970	205	985	220	30
84500	987	205	1002	220	30
84600	1004	205	1019	220	30
84700	970	222	985	237	30
84800	987	222	1002	237	30
84900	1004	222	1019	237	30
# Shadows
85100	1039	221	1046	228	30
85200	1021	230	1028	237	30
85300	1039	230	1046	237	30
85400	1030	230	1037	237	30

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
